source,target,weight
Tito Rodriguez,Eddie Palmieri,2
Tito Rodriguez,Joe Bataan,2
Joe Bataan,Harvey Averne,1
Johnny Pacheco,Joe Bataan,1
Johnny Pacheco,Harvey Averne,1
Johnny Pacheco,Larry Harlow,1
Johnny Pacheco,Willie Colon,1
Willie Colon,Hector Lavoe,1
Willie Colon,Ruben Blades,1
Hector Lavoe,Fania All-Stars,1
Larry Harlow,Fania All-Stars,1
Eddie Palmieri,Richie Ray,1
Eddie Palmieri,Harvey Averne,1
Eddie Palmieri,Charlie Palmieri,1
Charlie Palmieri,Johnny Pacheco,1
Charlie Palmieri,Louie Ramirez,1
Richie Ray,Bobby Cruz,1
Harvey Averne,Larry Harlow,1
Machito,Joe Bataan,1
Machito,Joey Pastrana,1
Tito Puente,Ray Barretto,1
Tito Puente,Mongo Santamaria,1
Tito Puente,Cal Tjader,1
Tito Puente,Joe Cuba,1
Tito Puente,Charlie Palmieri,1
Ray Barretto,Fania All-Stars,1
Ray Barretto,Harvey Averne,1
Mongo Santamaria,La Lupe,1
Mongo Santamaria,Willie Bobo,1
Mongo Santamaria,Cal Tjader,1
Willie Bobo,Cal Tjader,1
Willie Bobo,Pucho,1
Cal Tjader,Johnny Colón,1
Johnny Colón,Lebron Brothers,1
Johnny Colón,TNT Boys,1
Joe Cuba,Jimmy Sabater,1
Joe Cuba,Pete Rodriguez,1
Pete Rodriguez,Ruben Blades,1
Pete Rodriguez,Tony Pabon,1
